Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs ATL,27,122.75,11400,38.2,94.3,62.2,7.6,1.67,60.10,13.63,16.03,13.72,39.7,24.2,37.2,36.25,62.27,62.27,100,,74,5.5,Y,36,39.25,3.4
LeBron James,SF/PF,LAL,@ MEM,11,113.50,11200,37.8,84.1,53.4,7.6,1.53,55.12,11.03,13.23,11.34,30.6,19.1,34.9,37.00,57.60,57.60,100,,75,5.1,Y,40,63.50,5.7
Giannis Antetokounmpo,SF/PF,MIL,@ CHI,9,115.25,11000,0,23.5,57.7,6.0,1.74,62.73,11.55,11.75,0,31.9,17.4,33.1,0.00,0.00,0.00,100,,80,0,,,,
Joel Embiid,C,PHI,@ NOP,16,121.25,10500,0,23,54.2,3.4,1.61,58.11,11.16,11.52,0,32.9,18.4,33.6,0.00,0.00,0.00,100,,79,0,,,,
Karl-Anthony Towns,C,MIN,vs SAC,11,120.50,10100,31.2,84.7,48.3,3.2,1.48,53.15,13.45,15.29,12.98,27.5,16.2,32.7,34.75,54.09,54.09,100,,68,5.4,Y,31,72.75,7.2
Kevin Durant,SF/PF,GSW,@ CHA,13,120.75,9400,36,77.1,48.9,5.8,1.39,49.87,10.17,11.73,10.24,29.7,18.8,35.3,36.25,53.61,53.61,100,,76,5.7,Y,36,38.25,4.1
Stephen Curry,PG/SG,GSW,@ CHA,17,120.75,9300,32.9,74,47.5,5.3,1.39,49.97,12.07,11.73,11.82,29.9,19.7,34.2,35.25,50.53,50.53,100,,75,5.4,Y,35,39.25,4.2
Damian Lillard,PG,POR,@ CLE,12,117.00,9200,32.7,68.5,44.6,6.4,1.27,45.89,9.83,10.21,9.9,29.4,19.1,35.0,36.25,48.06,48.06,100,,77,5.2,Y,37,41.50,4.5
Blake Griffin,PF/C,DET,vs IND,6,107.25,9100,25.4,69,45.6,5.3,1.28,46.09,9.75,12.45,9.75,30.0,18.3,35.6,36.00,44.05,44.05,100,,73,4.8,Y,35,55.50,6.1
Andre Drummond,C,DET,vs IND,27,107.25,9000,29.5,75.7,45.1,1.2,1.36,49.14,11.05,13.18,10.82,23.3,13.7,33.1,35.25,49.31,49.31,100,,71,5.5,Y,38,58.50,6.5
Kemba Walker,PG,CHA,vs GSW,16,112.75,8900,26,71.8,42.6,5.7,1.24,44.57,10.89,13.10,11.04,30.5,20.0,34.4,36.50,45.61,45.61,100,,69,5.1,Y,41,34.75,3.9
Luka Doncic,PG/SF,DAL,@ LAC,22,113.50,8800,25.9,62.4,40.9,5.6,1.27,45.62,9.41,10.42,8.56,29.3,16.0,32.2,32.75,41.55,41.55,100,,75,4.7,Y,33,59.50,6.8
Devin Booker,PG/SG,PHX,@ MIA,11,104.50,8600,20.9,63.5,41.1,6.7,1.18,42.54,8.80,12.16,8.43,31.6,18.9,34.8,34.50,39.17,39.17,100,,70,4.6,Y,33,38.00,4.4
DeMar DeRozan,SG/SF,SAS,@ BKN,17,116.25,8500,23.6,66.3,40.5,6.1,1.15,41.45,10.81,12.18,10.28,28.5,17.8,35.2,34.25,41.91,41.91,100,,70,4.9,Y,34,32.75,3.9
