PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DFT_YR,DFT_RND,DFT_NUM
Aaron Gordon,ORL,23,6 9,220,Arizona,USA,2014,1,4
Aaron Holiday,IND,22,6 1,185,UCLA,USA,2018,1,23
Abdel Nader,OKC,25,6 6,225,Iowa State,Egypt,2016,2,58
Al Horford,BOS,33,6 10,245,Florida,Dominican Rep...,2007,1,3
Al-Farouq Aminu,POR,28,6 9,220,Wake Forest,USA,2010,1,8
Alan Williams,BKN,26,6 8,265,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
Alec Burks,SAC,27,6 6,214,Colorado,USA,2011,1,12
Alex Abrines,OKC,25,6 6,200,None,Spain,2013,2,32
Alex Caruso,LAL,25,6 5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Alex Len,ATL,26,7 1,250,Maryland,Ukraine,2013,1,5
Alex Poythress,ATL,25,6 9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted
Alfonzo McKinnie,GSW,26,6 8,215,None,USA,Undrafted,Undrafted,Undrafted
Alize Johnson,IND,23,6 9,212,Missouri State University,USA,2018,2,50
Allen Crabbe,BKN,27,6 6,212,California,USA,2013,2,31
Allonzo Trier,NYK,23,6 5,200,University of Arizona,USA,Undrafted,Undrafted,Undrafted
Amile Jefferson,ORL,26,6 9,222,Duke,USA,Undrafted,Undrafted,Undrafted
Amir Johnson,PHI,32,6 9,240,None,USA,2005,2,56
Andre Drummond,DET,25,6 11,279,Connecticut,USA,2012,1,9
Andre Iguodala,GSW,35,6 6,215,Arizona,USA,2004,1,9
Andre Ingram,LAL,33,6 3,190,American,USA,Undrafted,Undrafted,Undrafted
Andrew Bogut,GSW,34,7 1,260,Utah,Australia,2005,1,1
Andrew Harrison,NOP,24,6 6,213,Kentucky,USA,2015,2,44
Andrew Wiggins,MIN,24,6 8,194,Kansas,Canada,2014,1,1
Anfernee Simons,POR,20,6 4,185,None,USA,2018,1,24
Angel Delgado,LAC,24,6 10,245,None,Dominican Rep...,Undrafted,Undrafted,Undrafted
Ante Zizic,CLE,22,6 11,254,None,Croatia,2016,1,23
Anthony Davis,NOP,26,6 10,253,Kentucky,USA,2012,1,1
Anthony Tolliver,MIN,34,6 8,250,Creighton,USA,Undrafted,Undrafted,Undrafted
Antonio Blakeney,CHI,22,6 4,192,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Aron Baynes,BOS,32,6 10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted
Austin Rivers,HOU,26,6 4,200,Duke,USA,2012,1,10
Avery Bradley,MEM,28,6 2,180,Texas,USA,2010,1,19
BJ Johnson,SAC,23,6 7,200,None,USA,Undrafted,Undrafted,Undrafted
Bam Adebayo,MIA,21,6 10,255,Kentucky,USA,2017,1,14
Ben McLemore,SAC,26,6 5,201,Kansas,USA,2013,1,7
Ben Simmons,PHI,22,6 10,230,Louisiana State,Australia,2016,1,1
Billy Garrett,NYK,24,6 6,215,DePaul University,USA,Undrafted,Undrafted,Undrafted
Bismack Biyombo,CHA,26,6 9,255,None,Democratic Re...,2011,1,7
